name,symbol,current_price_usd,market_cap,total_volume,price_change_24h,timestamputc
XRP,xrp,1.66,101046741889,4103292371,-5.723,2026-01-31_14-20-20
Bitcoin,btc,81035.0,1627840435242,56306334876,-2.672,2026-01-31_15-18-58
Ethereum,eth,2537.97,306731345919,35716590965,-7.25126,2026-01-31_15-18-58
Tether,usdt,0.998574,185100025220,101664882879,-0.01006,2026-01-31_15-18-58
BNB,bnb,809.49,110995807194,1891549282,-4.98032,2026-01-31_15-18-58
XRP,xrp,1.65,99949135024,4367688021,-6.73743,2026-01-31_15-18-58
Bitcoin,btc,81393.0,1624160379621,57947288474,-1.78715,2026-01-31_16-21-57
Ethereum,eth,2532.32,305494324424,36719331750,-6.98505,2026-01-31_16-21-57
Tether,usdt,0.998649,185095302538,102858162113,0.00313,2026-01-31_16-21-57
BNB,bnb,804.13,108770087493,2016543260,-5.43919,2026-01-31_16-21-57
XRP,xrp,1.63,99233345092,4168166617,-7.14236,2026-01-31_16-21-57
Bitcoin,btc,79112.0,1580406829923,65510229877,-4.52958,2026-01-31_17-19-55
Ethereum,eth,2425.06,292541621094,35433253865,-10.52884,2026-01-31_17-19-55
Tether,usdt,0.998626,185116714990,115374982879,0.01074,2026-01-31_17-19-55
BNB,bnb,784.33,107063115048,2231461445,-7.38332,2026-01-31_17-19-55
XRP,xrp,1.57,95670825760,4608668680,-10.3079,2026-01-31_17-19-55
Bitcoin,btc,78247.0,1563039681828,68457205353,-4.66431,2026-01-31_18-25-35
Ethereum,eth,2389.44,288205147724,40720078419,-9.54841,2026-01-31_18-25-35
Tether,usdt,0.998464,185076013223,120537767686,0.00837,2026-01-31_18-25-35
BNB,bnb,776.71,106272461829,2333014429,-6.82944,2026-01-31_18-25-35
XRP,xrp,1.57,95304745292,4983799584,-9.66903,2026-01-31_18-25-35
Bitcoin,btc,78121.0,1558084519998,75184077151,-7.06911,2026-01-31_19-17-47
Ethereum,eth,2418.54,287784778560,46115755939,-11.69263,2026-01-31_19-17-47
Tether,usdt,0.998764,185135518933,132673078256,0.02537,2026-01-31_19-17-47
BNB,bnb,778.07,105613447507,2586855988,-8.54652,2026-01-31_19-17-47
XRP,xrp,1.6,96773305694,5633225288,-9.74596,2026-01-31_19-17-47
Bitcoin,btc,77407.0,1548356795058,74828415761,-7.58595,2026-01-31_20-20-25
Ethereum,eth,2366.98,285716386065,45443335399,-12.85538,2026-01-31_20-20-25
Tether,usdt,0.998626,185116858793,133417290170,0.00506,2026-01-31_20-20-25
BNB,bnb,768.33,104770944346,2589384347,-9.68356,2026-01-31_20-20-25
XRP,xrp,1.58,96206347225,5779785877,-10.08128,2026-01-31_20-20-25
Bitcoin,btc,77595.0,1554706613087,74093009945,-7.54027,2026-01-31_21-17-42
Ethereum,eth,2390.69,287381362244,47006979738,-11.22898,2026-01-31_21-17-42
Tether,usdt,0.99873,185133101312,132209172097,0.02866,2026-01-31_21-17-42
BNB,bnb,769.25,104768975921,2548507975,-10.022,2026-01-31_21-17-42
XRP,xrp,1.59,96977898704,5767423155,-8.2855,2026-01-31_21-17-42
Bitcoin,btc,78126.0,1561172978076,73676779950,-6.82443,2026-01-31_22-18-17
Ethereum,eth,2411.74,291082946950,46231259162,-10.40908,2026-01-31_22-18-17
Tether,usdt,0.998733,185138520106,134001306404,0.03966,2026-01-31_22-18-17
BNB,bnb,774.48,105829004531,2296583342,-9.60623,2026-01-31_22-18-17
XRP,xrp,1.61,98173390609,5886680916,-6.23194,2026-01-31_22-18-17
Bitcoin,btc,78172.0,1561475610267,75685133201,-6.98486,2026-01-31_23-17-43
Ethereum,eth,2418.95,292004289773,46520272621,-10.46689,2026-01-31_23-17-43
Tether,usdt,0.998873,185160590565,135317260350,0.03869,2026-01-31_23-17-43
BNB,bnb,776.16,105629276044,2589668656,-9.5161,2026-01-31_23-17-43
XRP,xrp,1.62,98310911810,5889794343,-6.27961,2026-01-31_23-17-43
Bitcoin,btc,78401.0,1566384589518,80249228331,-6.56046,2026-02-01_01-56-09
Ethereum,eth,2441.77,294681658659,49019428378,-9.40781,2026-02-01_01-56-09
